AddressID,AddressTypeID,BusinessEntityID,Año,Trimestre,Mes,Día,rowguid
1,2,12,2014,Trim. 3,septiembre,12,8AA698FC-090F-42EE-A197-2E7F7394D9F1
2,2,123,2014,Trim. 3,septiembre,12,E5C2EA88-0499-45C4-9C27-938E1DBF9C37
3,2,285,2014,Trim. 3,septiembre,12,DACFBC8F-1F78-4909-A25D-232034A831C1
4,2,251,2014,Trim. 3,septiembre,12,1FCE9144-06CB-467D-AA5D-B2EA6F68D019
5,2,124,2014,Trim. 3,septiembre,12,0FA92F54-0D7C-4944-AA88-C2E9EA6DD5DC
6,2,210,2014,Trim. 3,septiembre,12,B92916DB-2ECA-4001-840E-7E95A9149511
7,2,88,2014,Trim. 3,septiembre,12,77359FFF-8594-45D1-A28D-FC6E1CD65028
8,2,59,2014,Trim. 3,septiembre,12,75C5C433-4BF1-4F67-AC8F-07D97E481B1B
9,5,1470,2012,Trim. 2,mayo,30,432BBEE2-8A6B-45E3-8915-9350F0434E3F
10,2,212,2014,Trim. 3,septiembre,12,976974C8-6655-4A9D-BEE8-3FD0478F8858
11,5,430,2013,Trim. 1,febrero,28,3D88495A-776E-414A-A91E-6D8979A35D86
12,5,9196,2013,Trim. 1,enero,5,4FD3A574-162E-43B7-848C-9041B75138B3
13,5,17400,2013,Trim. 4,diciembre,14,327F1654-342C-44DB-8B70-92F205A37EE8
14,2,85,2014,Trim. 3,septiembre,12,1D0D6D8B-ADA6-4FBF-8E08-A2D406E6C51C
15,5,5124,2013,Trim. 4,noviembre,18,7EF5B6F3-B9B8-4773-A698-7AC3F3F23DF5
16,5,17691,2012,Trim. 4,noviembre,9,4294E814-583B-4C73-919E-AADE5F9F56EF
17,5,4073,2013,Trim. 4,noviembre,8,32F1C3C9-9846-49CC-94FE-7443B1A1FDBB
18,5,4388,2013,Trim. 4,noviembre,30,84862C05-0C8C-45EC-AFA0-0D02148C27D2
19,5,11072,2014,Trim. 2,abril,3,D92F4F4D-AB66-47E4-9A26-DD347DBDFCE1
20,2,76,2014,Trim. 3,septiembre,12,E09F8E13-7912-46CB-A8D8-417B2FA22229
21,2,117,2014,Trim. 3,septiembre,12,81F97D48-843F-46A6-9A46-230A714DE1CC
